,Anime Title,Type,Score_reference2,Episodes,Aired,Producers,Studios,Source,Genres,Score,Members,Favorites,Fav%,Source_reference,genre_reference_1,genre_reference_2,Season
9580,Glasslip,TV,Bad,13,"Jul 3, 2014 to Sep 25, 2014","Sotsu, Lantis, Pony Canyon, Showgate, Infinite",P.A. Works,Original,"Romance, Slice of Life, Supernatural",5.46,140826,207,0.147,5,20,18,3
9583,Amai Choubatsu: Watashi wa Kanshu Senyou Pet,TV,Bad,13,"Apr 2, 2018 to Jun 25, 2018","Picante Circus, Suiseisha, Cloud22",Magic Bus,Web manga,Ecchi,5.45,19419,131,0.675,0,35,0,2
9596,"Shuudengo, Capsule Hotel de, Joushi ni Binetsu Tsutawaru Yoru.",TV,Bad,12,"Oct 8, 2018 to Dec 24, 2018","Studio Mausu, Namu Animation",Suiseisha,Manga,"Ecchi, Josei, Romance",5.45,13328,74,0.555,0,35,27,4
9598,Yu☆Gi☆Oh!: Sevens,TV,Bad,Unknown,"Apr 4, 2020 to ?",,Bridge,Card game,"Action, Game, Fantasy, Shounen",5.45,11244,46,0.409,2,1,16,2
9605,Anitore! EX,TV,Bad,12,"Oct 13, 2015 to Dec 29, 2015","Earth Star Entertainment, F.M.F",Rising Force,Original,"Comedy, Sports",5.44,26850,33,0.123,5,4,23,4
9606,Cutie Honey Universe,TV,Bad,12,"Apr 8, 2018 to Jun 24, 2018","Pony Canyon, AT-X, Memory-Tech, Dynamic Planning, Bandai Namco Entertainment, Pony Canyon Enterprise",Production Reed,Manga,"Action, Comedy, Magic, Romance, Sci-Fi, Shounen",5.44,15307,15,0.098,0,1,4,2
9620,Haja Kyosei G Dangaiou,TV,Bad,13,"Apr 5, 2001 to Jul 5, 2001",AIC,,Unknown,"Action, Mecha, Sci-Fi",5.43,2311,3,0.13,3,1,22,2
9621,Hakyuu Houshin Engi,TV,Bad,23,"Jan 12, 2018 to Jun 29, 2018","NBCUniversal Entertainment Japan, i0+",C-Station,Manga,"Adventure, Demons, Fantasy, Shounen, Supernatural",5.43,17225,19,0.11,0,3,31,1
9640,Saiko Robot Kombock,TV,Bad,25,"Oct 6, 2003 to Mar 29, 2004","Xebec, CinePix",,Unknown,"Mecha, Sci-Fi",5.42,3477,4,0.115,3,22,10,4
9642,Suzakinishi The Animation,TV,Bad,12,"Jul 8, 2015 to Sep 23, 2015",,feel.,Radio,"Slice of Life, Comedy",5.42,4358,2,0.046,4,18,4,3
9650,Clione no Akari,TV,Bad,12,"Jul 12, 2017 to Sep 27, 2017","Kyotoma, Kanetsu Investment",drop,Novel,"Drama, School",5.42,12367,11,0.089,0,5,24,3
